AS,IS,DC,RP,N,AC,IC,RC,DOI
7.5,0.215,3.5,1.31,1,0.07,460,362,10.1002/ente.202200746
30,0.31,1.67,0.72,0,0.55,329.94,401,10.1016/j.electacta.2017.04.164
,0.31,3.46,,0,0.748,430,380,10.1142/S1793604718500042
10,0.225,2.62,0.97,1,0.79,471,405,10.1016/j.cej.2020.127169
30,0.31,4.28,1.08,1,0.35,560,543,10.1016/j.apsusc.2017.09.154
20,0.225,4.02,3.127,1,0.82,587.4,459,10.1088/1361-6528/abf778
20,0.225,3.29,2.688,1,0.75,465.2,469.5,10.1088/1361-6528/abf778
20,0.225,3.65,2.12,1,0.61,531.11,403,10.1088/1361-6528/abf778
20,0.31,1.12,1.02,1,0.5,460,413.5,10.1016/j.nanoen.2019.104133
125,0.33,3.12,0.89,0,0.5,,523,10.1002/smll.201903521
15,0.31,2.24,0.93,0,0.74,612,450,10.1021/acsaem.8b01353
15,0.31,2.8,0.99,0,0.72,647,525,10.1021/acsaem.8b01353
20,0.32,,1.06,1,0.444,339.04,320,10.1016/j.mtener.2020.100403
120,0.31,3.29,0.51,0,0.4,473.16,358.8,10.1007/s40195-018-0733-5
27.1,0.37,2.78,0.65,0,0.67,414.8,400,10.1016/j.cej.2019.05.036
150,0.31,2.78,1.41,0,0.8,471.1,471,10.1016/j.jmst.2019.05.031
50,0.31,3.5,1.44,1,0.2,300.67,301,10.1007/s12598-022-02015-z
6.82,0.215,3.54,1.14,1,0.46,853.4,579,10.1016/j.matt.2019.03.010
20,0.311,2.76,,0,0.662,530,500,10.1016/j.jallcom.2021.158647
40.5,0.31,3.53,0.93,1,0.67,487.5,480,10.1016/j.jpowsour.2017.03.026
8.12,0.31,2.94,0.96,0,0.06,480,228.06,10.1016/j.jallcom.2022.166631
8.66,0.31,3.06,0.96,0,0.05,475,255.6,10.1016/j.jallcom.2022.166631
9.3,0.31,2.5,0.96,0,0.03,512,290.9,10.1016/j.jallcom.2022.166631
7.5,0.31,2.2,0.86,0,0.6,721.6,243,10.1016/j.coco.2019.12.005
2,0.323,1.71,,0,,640,600,10.1016/j.electacta.2019.135501
